               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.027519,            0.025322,                   0,             0.98851,              0.9798,             0.98547,             0.62609,            0.026827,            0.018532,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.028647,            0.026246,                   0,                   1,             0.97583,             0.98726,             0.58932,            0.028129,            0.019089,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.028309,            0.024669,                   0,             0.97976,             0.97817,             0.98515,             0.59842,            0.028438,            0.019093,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.027968,            0.024291,                   0,             0.99896,              0.9798,             0.98814,             0.57496,            0.029977,            0.018677,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.027904,            0.023769,                   0,              0.9988,              0.9798,             0.98724,             0.60038,            0.028672,            0.018494,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.028494,            0.025032,                   0,             0.98862,              0.9798,             0.98192,             0.57659,            0.029861,            0.019119,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.029337,            0.025209,                   0,             0.97979,             0.97949,             0.98498,             0.63796,            0.026451,            0.018608,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.028696,            0.025388,                   0,             0.98837,              0.9798,             0.98494,             0.53086,            0.031635,            0.019272,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.027477,            0.024939,                   0,             0.97968,              0.9798,             0.98483,             0.55139,            0.030954,            0.019226,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.028698,            0.025085,                   0,             0.99563,              0.9697,             0.98248,              0.5827,            0.029789,            0.020046,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.029245,            0.026448,                   0,                   1,              0.9789,             0.98559,             0.61632,            0.027903,            0.019405,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,             0.02826,            0.024764,                   0,             0.99793,              0.9798,             0.98567,               0.546,            0.031359,            0.019199,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.028079,            0.025012,                   0,             0.99849,              0.9798,             0.98643,             0.58464,            0.028814,            0.018402,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.027174,            0.025736,                   0,             0.99802,              0.9899,             0.98758,             0.61381,            0.027978,            0.018517,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.027364,            0.024915,                   0,                   1,             0.98811,             0.98784,             0.55118,            0.031097,            0.018864,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.027728,            0.025019,                   0,              0.9993,              0.9899,             0.98584,             0.58774,            0.029496,            0.019093,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.027833,            0.024864,                   0,             0.99895,              0.9798,             0.98887,             0.59441,            0.028782,            0.018448,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.027628,            0.025104,                   0,               0.999,              0.9798,             0.98597,             0.60497,            0.027716,            0.018513,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.027111,            0.024376,                   0,             0.98901,              0.9697,             0.97919,             0.53645,            0.031717,             0.01947,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.027248,            0.025866,                   0,             0.99675,              0.9798,             0.98756,             0.60812,            0.027348,            0.018436,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.026893,            0.024149,                   0,             0.99865,              0.9798,             0.98767,              0.5807,            0.029585,            0.018742,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.026115,            0.023598,                   0,             0.99871,              0.9798,             0.98789,             0.59476,            0.028603,            0.018787,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.026913,            0.025109,                   0,             0.99846,              0.9798,             0.98683,              0.6351,            0.026216,            0.018085,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.027488,            0.024853,                   0,             0.99777,              0.9697,             0.97897,             0.61128,             0.02776,            0.019585,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.026507,             0.02422,                   0,              0.9979,              0.9697,              0.9791,             0.62039,            0.027442,            0.019249,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.026139,            0.023297,                   0,             0.99996,              0.9697,              0.9823,             0.64673,            0.026176,             0.01894,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.027146,            0.025152,                   0,                   1,             0.96847,             0.98515,             0.65737,            0.025408,            0.018467,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,             0.02797,            0.024511,                   0,                   1,             0.96809,             0.98659,             0.65183,            0.025684,            0.018368,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.027563,             0.02699,                   0,             0.98988,             0.98803,             0.98609,             0.64872,             0.02519,            0.018116,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,             0.02689,            0.025552,                   0,             0.99845,              0.9899,             0.98632,             0.63239,            0.026552,            0.018112,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.027367,            0.023486,                   0,                   1,             0.98824,             0.99425,             0.65085,            0.024918,            0.017677,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.026158,            0.023451,                   0,             0.99829,              0.9798,             0.98673,             0.61152,            0.027816,            0.018234,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.027118,            0.026052,                   0,             0.99826,              0.9798,             0.98807,             0.62576,            0.026901,            0.017979,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.025744,            0.024426,                   0,             0.99925,              0.9798,             0.98628,             0.57979,            0.029689,            0.018845,                   0,            0.001882,            0.001882,            0.001882
                 166,            0.026857,            0.025268,                   0,             0.98988,             0.98791,             0.98616,             0.62407,            0.026897,            0.018223,                   0,           0.0018325,           0.0018325,           0.0018325
                 167,            0.026827,            0.024538,                   0,                   1,             0.98785,             0.98622,             0.61629,            0.027397,            0.018219,                   0,            0.001783,            0.001783,            0.001783
                 168,            0.026115,             0.02372,                   0,                   1,             0.98905,             0.98641,             0.61389,            0.027771,            0.018269,                   0,           0.0017335,           0.0017335,           0.0017335
